predicate_code,family,default_polarity,relationship_graph_eligible,description
CLAIMS_SCIENTIFIC_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_LEGAL_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_FINANCIAL_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS_GOVERNMENT_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CHALLENGES_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
MISQUOTES_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CORRECTS_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RETRACTS_CITATION,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ATTRIBUTES_TO_SOURCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ASSERTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLAIMS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ALLEGES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SPECULATES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUSPECTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INFERS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONCLUDES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FORECASTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ESTIMATES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ASSUMES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
BELIEVES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DOUBTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DENIES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONFIRMS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CORRECTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RETRACTS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CLARIFIES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
QUALIFIES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
HEDGES,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
EXPRESSES_UNCERTAINTY,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
EXPRESSES_CERTAINTY,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ASKS_QUESTION,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RHETORICAL_QUESTION,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
POSES_HYPOTHESIS,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONDITIONAL_CLAIM,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
COUNTERFACTUAL_CLAIM,EPISTEMIC,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
WARNS,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_COLLAPSE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_CRISIS,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_WAR,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_RECESSION,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_MARKET_MOVE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_POLICY,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_ELECTION_ACTION,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_PROSECUTION,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_IMPEACHMENT,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_SHORTAGE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_CENSORSHIP,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_SURVEILLANCE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_CONTROL,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_HEALTH_HARM,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_TECHNOLOGICAL_HARM,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_SOCIAL_UNREST,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_SUCCESS,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREDICTS_FAILURE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SETS_DEADLINE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SETS_CONDITION,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ISSUES_URGENCY,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ISSUES_CALL_TO_PREPARE,PREDICTION_WARNING,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FEAR_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
URGENCY_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SCARCITY_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
EXCLUSIVITY_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
AUTHORITY_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INSIDER_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
MORAL_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PATRIOTIC_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RELIGIOUS_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ANGER_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DISGUST_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
HOPE_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
GREED_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SOCIAL_PROOF_APPEAL,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
US_VS_THEM_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ENEMY_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
VICTIM_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
HERO_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SCAPEGOAT_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INEVITABILITY_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CATASTROPHE_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONSPIRACY_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SECRECY_FRAMING,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CALL_TO_ACTION,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CALL_TO_RESIST,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CALL_TO_CONTACT_OFFICIALS,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CALL_TO_SHARE,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CALL_TO_JOIN,RHETORICAL_PERSUASION,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_SUED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
THREATENS_LAWSUIT,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FILES_COMPLAINT,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_CHARGED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CHARGES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PROSECUTES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_PROSECUTED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONVICTS,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_CONVICTED,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SETTLES_WITH,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_SANCTIONED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SANCTIONS,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
REGULATES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_REGULATED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INVESTIGATES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_INVESTIGATED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUBPOENAS,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_SUBPOENAED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LICENSES_REGULATORILY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
REVOKES_LICENSE,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FINES,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IS_FINED_BY,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RULES_AGAINST,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RULES_FOR,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ACQUITS,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DISMISSES_CASE,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
APPEALS_CASE,LEGAL_REGULATORY,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SUPPORTS_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
OPPOSES_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PROPOSES_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LOBBIES_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
IMPLEMENTS_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ENFORCES_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
RESISTS_POLICY,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
VOTES_FOR,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
VOTES_AGAINST,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CAMPAIGNS_FOR,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CAMPAIGNS_AGAINST,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ENDORSES_CANDIDATE,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
OPPOSES_CANDIDATE,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
APPOINTS_OFFICIAL,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FIRES_OFFICIAL,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ORDERS,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DIRECTS_GOVERNMENT_ACTION,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ACCUSES_GOVERNMENT,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PRAISES_GOVERNMENT,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CRITICIZES_GOVERNMENT,POLICY_POWER,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CAUSES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CONTRIBUTES_TO,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ENABLES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
FACILITATES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PREVENTS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
BLOCKS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
TRIGGERS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ACCELERATES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
SLOWS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
INCREASES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DECREASES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
HARMS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
BENEFITS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
THREATENS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PROTECTS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
TARGETS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ATTACKS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
DEFENDS_AGAINST,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
COORDINATES_WITH,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
MEETS_WITH,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
TRAVELS_TO_MEET,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
NEGOTIATES_WITH,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
MEDIATES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
BROKERS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
ANNOUNCES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
LAUNCHES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
CANCELS,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
POSTPONES,EVENT_CAUSAL,NOT_APPLICABLE,NO,"Normalized investigative semantic predicate"
PRAISES_EXPERTISE,POSITIVE_STANCE,POSITIVE,NO,"Praises a person or entity specifically for expertise or analytical quality"
CITES_DOCUMENTARY_EVIDENCE,SOURCE_EVIDENCE,NOT_APPLICABLE,NO,"Cites documents or documentary records as supporting evidence"
