candidate_key,display_name,candidate_type,canonical_entity_id,mention_count,distinct_content_count,distinct_source_count,speaker_count,triage_score,review_priority,signal_types,sample_content_id,sample_snippet,batch_id,source_label
webster tarpley,Webster Tarpley,person_or_named_entity,,4,2,2,0,26,MEDIUM,proper_case,m50hk1fyOYs,"these people would argue, Webster Tarpley would argue",20260920T071212Z_REBUILD,rebuild_all
yeah i i,Yeah. I I,person_or_named_entity,,4,2,2,0,26,MEDIUM,proper_case,71DIp8e2mXk,"of of where your head's at? >> Yeah. I I you know, I don't I don't look",20260920T071212Z_REBUILD,rebuild_all
yeah right,Yeah. Right,person_or_named_entity,,4,2,2,0,26,MEDIUM,proper_case,87SJi_DDbt4,who will vote. Yeah. Right? Yeah. That's,20260920T071212Z_REBUILD,rebuild_all
yes so,Yes. So,person_or_named_entity,,4,2,2,0,26,MEDIUM,proper_case,vR-o6IGspmU,">> you need a legislative cleanup anyway. >> Yes. So, but I don't think that's",20260920T071212Z_REBUILD,rebuild_all
abc,ABC,named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,"me just say it that way. So, I said, ""I'm going to call the bill the ABC high",20260920T071212Z_REBUILD,rebuild_all
air force one and,Air Force One and,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,RRPA9FVZ2Ds,"press, he got back on Air Force One and",20260920T071212Z_REBUILD,rebuild_all
ais,AIs,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,lose your data sovereignty as you're um sending information to AIs that aren't,20260920T071212Z_REBUILD,rebuild_all
alistister,Alistister,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,we've discovered is that there's a this started Alistister because our,20260920T071212Z_REBUILD,rebuild_all
american century,American Century,organization,,6,1,1,0,25,MEDIUM,proper_case,m50hk1fyOYs,"and number two, on the fact that the project for the new American Century",20260920T071212Z_REBUILD,rebuild_all
anaconda,Anaconda,organization,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,quickly. I I first went to Texas and founded a company called Anaconda after,20260920T071212Z_REBUILD,rebuild_all
anthropic,Anthropic,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,"where you want to be. >> If you're using Anthropic,",20260920T071212Z_REBUILD,rebuild_all
ceo,CEO,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,started. I've had various CEOs run it. I took over as CEO. I was a CEO,20260920T071212Z_REBUILD,rebuild_all
cftc,CFTC,government,,6,1,1,0,25,MEDIUM,proper_case,INWRgXjwPXk,who filed a group's complaint against uh to the CFTC complaining about insider,20260920T071212Z_REBUILD,rebuild_all
chevron,Chevron,named_entity,,6,1,1,0,25,MEDIUM,proper_case,YItOkNjS4OY,the push to control using energy is really on. Yeah. So um Chevron it's,20260920T071212Z_REBUILD,rebuild_all
china s,China's,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,"worked, but it was intended also um to squeeze China's supply line. In fact,",20260920T071212Z_REBUILD,rebuild_all
christmas and,Christmas. And,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,that's exactly Yeah. It's 1999 at on sale at Christmas. And this is what they,20260920T071212Z_REBUILD,rebuild_all
copernican,Copernican,named_entity,,6,1,1,0,25,MEDIUM,proper_case,oc8B5AqvkUE,we had a kind of extension of the pre-Copernican worldview.,20260920T071212Z_REBUILD,rebuild_all
crud,CRUD,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,"something called create, read, update delete. is CRUD a CRUD interface. So you",20260920T071212Z_REBUILD,rebuild_all
dai mai,Dai Mai,product,,6,1,1,0,25,MEDIUM,proper_case,xIZYuhJjYAQ,"living down there in the belly. In the Chinese system, the Dai Mai, the eight",20260920T071212Z_REBUILD,rebuild_all
dtm so,DTM. So,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,v4d389XfJbA,"but rather 34 03 DTM. So, you see the difference is in",20260920T071212Z_REBUILD,rebuild_all
europe i,Europe I,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,United States and to Europe I mean you know we're just,20260920T071212Z_REBUILD,rebuild_all
european union,European Union,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,global exports have been surging >> yes to the to Asia to the European Union,20260920T071212Z_REBUILD,rebuild_all
exactly but,Exactly. But,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,>> echo what's happening now. >> Exactly. But it's getting worse.,20260920T071212Z_REBUILD,rebuild_all
exactly so,Exactly. So,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,"won't, you know. >> Exactly. So, but then I I had an idea",20260920T071212Z_REBUILD,rebuild_all
excel,Excel,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,Like you got to become a specialist. There's lots of people use Excel very,20260920T071212Z_REBUILD,rebuild_all
flock s ai,Flock's AI,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,v4d389XfJbA,Officers said that they'd been tracking him for days using Flock's AI integrated,20260920T071212Z_REBUILD,rebuild_all
gallatin,Gallatin,named_entity,,6,1,1,0,25,MEDIUM,proper_case,zXpH1Lw08m0,"demographic. 53% of 45 to 64, Gallatin could even",20260920T071212Z_REBUILD,rebuild_all
god and,God and,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,cash legislation and we have to be right with God and have proof for everything,20260920T071212Z_REBUILD,rebuild_all
homus,Homus,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,between Kasam Island and Larak Island in order to exit from uh Homus.,20260920T071212Z_REBUILD,rebuild_all
ira,IRA,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,">> um uh what we need to do is if you look at everybody's 401k and IRA,",20260920T071212Z_REBUILD,rebuild_all
iran of,Iran of,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,the consequence was um an expansion by Iran of its restricted area right up,20260920T071212Z_REBUILD,rebuild_all
italian,Italian,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,what what what is the point of being a a an Italian? What is the vision of it?,20260920T071212Z_REBUILD,rebuild_all
johnny cash,Johnny Cash,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,his nickname is Johnny Cash and everyone started calling him Johnny Cash this,20260920T071212Z_REBUILD,rebuild_all
johnny cash and,Johnny Cash and,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,actually got a nickname this year and his nickname is Johnny Cash and everyone,20260920T071212Z_REBUILD,rebuild_all
lbridge,Lbridge,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,"Chinese, if you like, technology that was first trled by BIS, um the Lbridge,",20260920T071212Z_REBUILD,rebuild_all
lebanon,Lebanon,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,"take, you know, Syria. We're going to take Lebanon, part of Lebanon. We are",20260920T071212Z_REBUILD,rebuild_all
middle east i,Middle East. I,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,"disrupt um if you like what's happening in the Middle East. I wouldn't, you",20260920T071212Z_REBUILD,rebuild_all
monday,Monday,named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,so we had the whole weekend and they were going to reconsider on Monday when,20260920T071212Z_REBUILD,rebuild_all
none of,None of,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,"say this crypto secure, this credit card, this bank account. None of it is.",20260920T071212Z_REBUILD,rebuild_all
numpy,NumPy,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,helping scientists do their job easier. >> People wanting to use NumPy sort of drew,20260920T071212Z_REBUILD,rebuild_all
o brien s,O'Brien's,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,order >> O'Brien's law,20260920T071212Z_REBUILD,rebuild_all
offutt air force base,Offutt Air Force Base,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,RRPA9FVZ2Ds,"flew to Offutt Air Force Base in Omas,",20260920T071212Z_REBUILD,rebuild_all
okay well,Okay. Well,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,"worthy goal. >> Okay. Well, anything else you want to",20260920T071212Z_REBUILD,rebuild_all
open teams,Open Teams,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,So it's that ends up being your AI that Open Teams helps you build. We're like a,20260920T071212Z_REBUILD,rebuild_all
palanteer,Palanteer,named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,prime minister Ehood Barak. This is the same Palanteer that has started,20260920T071212Z_REBUILD,rebuild_all
paypal mafia,PayPal Mafia,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,mD_aE7ZCMoo,"people. >> PayPal Mafia, here we go. The",20260920T071212Z_REBUILD,rebuild_all
pentagon,Pentagon,named_entity,,6,1,1,0,25,MEDIUM,proper_case,aQYwmh0gCQo,in the dining room for the Secretary of Defense at the Pentagon getting a,20260920T071212Z_REBUILD,rebuild_all
pirate money,Pirate Money,organization,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,"has has some kind of company uh Pirate Money. So from Pirate Money, I was able",20260920T071212Z_REBUILD,rebuild_all
python and,Python and,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,mq7GSzwaGBw,at the Mayo Clinic and I encountered Python and trying to solve my problems.,20260920T071212Z_REBUILD,rebuild_all
qatar,Qatar,named_entity,,6,1,1,0,25,MEDIUM,proper_case,wnz7NM7h9R4,">> You know, that's a great point. I'm glad you brought that up cuz the Qatar strike",20260920T071212Z_REBUILD,rebuild_all
russians,Russians,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,very close relationship both with Iran and with Russia and I think the Russians,20260920T071212Z_REBUILD,rebuild_all
s p,S&P,named_entity,,6,1,1,0,25,MEDIUM,proper_case,wfpVe_F_0UE,They don't know there's a problem. >> 45% of the S&P 500 is AI or AI-adjacent.,20260920T071212Z_REBUILD,rebuild_all
san francisco,San Francisco,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,9Td1lcX-Cno,"cable cutting episode in California, in San Francisco,",20260920T071212Z_REBUILD,rebuild_all
solary,Solary,named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,bank. We looked at their financials. We did the whole Solary finding a good,20260920T071212Z_REBUILD,rebuild_all
substack,Substack,media_show,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,"on in the world in the Middle East. Um, you have a wonderful Substack called",20260920T071212Z_REBUILD,rebuild_all
tesla,Tesla,named_entity,,6,1,1,0,25,MEDIUM,proper_case,oGWf3g8iYLA,royalties that he would have had sponsoring Tesla as as his financial,20260920T071212Z_REBUILD,rebuild_all
tesla s,Tesla's,product,,6,1,1,0,25,MEDIUM,proper_case,oGWf3g8iYLA,that we had that kind of system of energy with Tesla's wireless power,20260920T071212Z_REBUILD,rebuild_all
treasuries,Treasuries,named_entity,,6,1,1,0,25,MEDIUM,proper_case,WGn_E_9ZS2Q,around the world into the my Treasury bill market to finance Treasuries.,20260920T071212Z_REBUILD,rebuild_all
world war iii,World War III,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,FXNfNrtGHlo,"and markets. And John, our theme is >> World War III madness. There is no",20260920T071212Z_REBUILD,rebuild_all
wyoming and,Wyoming and,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,someone at Rogue Foods who spoke from Wyoming and we got in a conversation,20260920T071212Z_REBUILD,rebuild_all
yeah well,Yeah. Well,person_or_named_entity,,6,1,1,0,25,MEDIUM,proper_case,vR-o6IGspmU,"general. >> Yeah. Well,",20260920T071212Z_REBUILD,rebuild_all
zionist,Zionist,named_entity,,6,1,1,0,25,MEDIUM,proper_case,MGnJEb4sXwM,you're seeing an enormous rejection by the young people of the Zionist element,20260920T071212Z_REBUILD,rebuild_all
britain,Britain,named_entity,,3,2,2,0,24,LOW,proper_case,ChdoKKB48CU,the Rothschilds crashed the stock market of Britain.,20260920T071212Z_REBUILD,rebuild_all
by the,By the,person_or_named_entity,,3,2,2,0,24,LOW,proper_case,ChdoKKB48CU,"By the following year, they'd crashed",20260920T071212Z_REBUILD,rebuild_all
america s,America's,named_entity,,5,1,1,0,23,LOW,proper_case,RRPA9FVZ2Ds,"all of America's nuclear forces, all of them",20260920T071212Z_REBUILD,rebuild_all
claude,Claude,named_entity,,5,1,1,0,23,LOW,proper_case,mq7GSzwaGBw,">> If you're using Anthropic, >> if [clears throat] you're using Claude",20260920T071212Z_REBUILD,rebuild_all
gulf financial center,Gulf Financial Center,person_or_named_entity,,5,1,1,0,23,LOW,proper_case,MGnJEb4sXwM,and US stocks to raise capital. So that brings us to the Gulf Financial Center.,20260920T071212Z_REBUILD,rebuild_all
halloween,Halloween,named_entity,,5,1,1,0,23,LOW,proper_case,vR-o6IGspmU,"things I've done has actually been Halloween cash at Halloween. So, I have",20260920T071212Z_REBUILD,rebuild_all
hebrew,Hebrew,named_entity,,5,1,1,0,23,LOW,proper_case,MGnJEb4sXwM,she lived in Israel as I did for a number of years and was at the Hebrew,20260920T071212Z_REBUILD,rebuild_all
january february,January February,person_or_named_entity,,5,1,1,0,23,LOW,proper_case,MGnJEb4sXwM,with say 537 billion. Today it's dropped if you just look January February it's,20260920T071212Z_REBUILD,rebuild_all
mastercard,Mastercard,named_entity,,5,1,1,0,23,LOW,proper_case,vR-o6IGspmU,"community, where did it go? It went to Mastercard that's head headquartered in",20260920T071212Z_REBUILD,rebuild_all
range rover,Range Rover,person_or_named_entity,,5,1,1,0,23,LOW,proper_case,v4d389XfJbA,was suddenly swarmed by armed cops. He was test driving a Range Rover with his,20260920T071212Z_REBUILD,rebuild_all
saudi arabia,Saudi Arabia,person_or_named_entity,,5,1,1,0,23,LOW,proper_case,MGnJEb4sXwM,the United States in an attack. Saudi Arabia um refused to go down that and,20260920T071212Z_REBUILD,rebuild_all
selective service system,Selective Service System,product,,5,1,1,0,23,LOW,proper_case,es1SX2TSqz8,The Selective Service System wants to,20260920T071212Z_REBUILD,rebuild_all
supreme court,Supreme Court,person_or_named_entity,,5,1,1,0,23,LOW,proper_case,-YPhdbbhvv4,Supreme Court 6-3 ruling,20260920T071212Z_REBUILD,rebuild_all
swift,Swift,named_entity,,5,1,1,0,23,LOW,proper_case,MaTz-usR3uo,"Markets is the Escape sub stack has a new post called Swift, and it points out",20260920T071212Z_REBUILD,rebuild_all
thanksgiving,Thanksgiving,named_entity,,5,1,1,0,23,LOW,proper_case,vR-o6IGspmU,signatures which in our area was 400 signatures. It was around Thanksgiving.,20260920T071212Z_REBUILD,rebuild_all
mhm so,Mhm. So,person_or_named_entity,,2,2,2,0,22,LOW,proper_case,KiRtjIh2kjc,"these concepts which are undefined. Mhm. So,",20260920T071212Z_REBUILD,rebuild_all
middle east and the,Middle East. And the,person_or_named_entity,,2,2,2,0,22,LOW,proper_case,m50hk1fyOYs,"Middle East. And the only way to do that, they",20260920T071212Z_REBUILD,rebuild_all
money and markets,Money and Markets,person_or_named_entity,,2,2,2,0,22,LOW,proper_case,MaTz-usR3uo,things we're covering in Money and Markets is the Escape sub stack has a,20260920T071212Z_REBUILD,rebuild_all
right this,Right. This,person_or_named_entity,,2,2,2,0,22,LOW,proper_case,MztMjj6LxXk,>> Right. This is yet another It It's like like,20260920T071212Z_REBUILD,rebuild_all
beijing and,Beijing and,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,the uh foreign minister of Iran has just been in Beijing and has just come back,20260920T071212Z_REBUILD,rebuild_all
fox news,Fox News,organization,,4,1,1,0,21,LOW,proper_case,zXpH1Lw08m0,">> Right. So so retired, watch Fox News, probably a",20260920T071212Z_REBUILD,rebuild_all
frankfurt,Frankfurt,named_entity,,4,1,1,0,21,LOW,proper_case,ChdoKKB48CU,"certain families, particularly from Frankfurt, that were",20260920T071212Z_REBUILD,rebuild_all
imago dei this,Imago Dei. This,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,eoeftpuyQXw,Judeo-Christian concept of Imago Dei. This idea that there is a distinct,20260920T071212Z_REBUILD,rebuild_all
j p morgan,J.P. Morgan,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,oGWf3g8iYLA,And the story is always told that J.P. Morgan,20260920T071212Z_REBUILD,rebuild_all
january,January,named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,"about 6,700 signatures needed in 20 days in January in South Dakota.",20260920T071212Z_REBUILD,rebuild_all
mag,Mag,named_entity,,4,1,1,0,21,LOW,proper_case,tQjAGbYIw00,or higher gets automatic admission to the Mag 7. It becomes the,20260920T071212Z_REBUILD,rebuild_all
margaret,Margaret,named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,676. >> I can't wait to see Margaret.,20260920T071212Z_REBUILD,rebuild_all
marlo,Marlo,named_entity,,4,1,1,0,21,LOW,proper_case,mq7GSzwaGBw,"But if you look at how talented and capable Marlo is, you know, with your",20260920T071212Z_REBUILD,rebuild_all
mediterranean,Mediterranean,named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,hit Russian tankers um in the Mediterranean or at least at the mouth,20260920T071212Z_REBUILD,rebuild_all
microsoft,Microsoft,named_entity,,4,1,1,0,21,LOW,proper_case,mq7GSzwaGBw,answer so in the evolution of computing it's why Microsoft showed up because IBM,20260920T071212Z_REBUILD,rebuild_all
national association of,National Association of,organization,,4,1,1,0,21,LOW,proper_case,87SJi_DDbt4,"So what carried the day? She says, well you had the National Association of",20260920T071212Z_REBUILD,rebuild_all
pakistan,Pakistan,named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,"those states said, ""Sorry, we are with Pakistan on this."" And so we had a",20260920T071212Z_REBUILD,rebuild_all
palantir,Palantir,product,,4,1,1,0,21,LOW,proper_case,mD_aE7ZCMoo,"the system that BlackRock has industrialized, that Palantir has",20260920T071212Z_REBUILD,rebuild_all
panama,Panama,named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,added to it because a few days before that you may recall that uh the Panama,20260920T071212Z_REBUILD,rebuild_all
pirate,Pirate,organization,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,called Pirate Pirate Money and I believe has has some kind of company uh Pirate,20260920T071212Z_REBUILD,rebuild_all
poland s,Poland's,named_entity,,4,1,1,0,21,LOW,proper_case,Oxk8BAFUdBE,with a very large caveat. Uh and that would be that in Poland's,20260920T071212Z_REBUILD,rebuild_all
president trump,President Trump,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,"that is because I think um uh President Trump is considering, you know, the the",20260920T071212Z_REBUILD,rebuild_all
shanghai,Shanghai,named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,"innovations quietly like such as uh on the Shanghai um gold exchange, metal",20260920T071212Z_REBUILD,rebuild_all
sou falls so,Sou Falls. So,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,phone tower couldn't do this because we don't live in Sou Falls. So our,20260920T071212Z_REBUILD,rebuild_all
south dakota and,South Dakota and,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,do it. We I can sit here in South Dakota and pass laws until I'm blue in the face,20260920T071212Z_REBUILD,rebuild_all
south dakota they,South Dakota. They,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,business and they're not based in South Dakota. They have 174 locations,20260920T071212Z_REBUILD,rebuild_all
south dakota they re,South Dakota. They're,person_or_named_entity,,4,1,1,0,21,LOW,proper_case,vR-o6IGspmU,business. They are based in South Dakota. They're owned by Sanford Health.,20260920T071212Z_REBUILD,rebuild_all
tedros,Tedros,named_entity,,4,1,1,0,21,LOW,proper_case,6Mg0q_IyWgY,"Like, ""Oh my god, look how important my symptoms are."" So Tedros is all of",20260920T071212Z_REBUILD,rebuild_all
tucker,Tucker,named_entity,,4,1,1,0,21,LOW,proper_case,MGnJEb4sXwM,"in fact, when the interview was over, Tucker then added a section where he",20260920T071212Z_REBUILD,rebuild_all
abc and,ABC and,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,>> The point escaped me. I didn't know why he thought this was better than ABC and,20260920T071212Z_REBUILD,rebuild_all
abraham lincoln,Abraham Lincoln,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,vR-o6IGspmU,an ice cream. They have the what is it? The [sighs] Abraham Lincoln ice cream or,20260920T071212Z_REBUILD,rebuild_all
abs yeah if,Abs- Yeah. If,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,87SJi_DDbt4,>> care? Abs- Yeah. If you sit down and you write,20260920T071212Z_REBUILD,rebuild_all
absolutely absolutely you,Absolutely. Absolutely. You,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,look at it in very dynamic different >> Absolutely. Absolutely. You can cuz then,20260920T071212Z_REBUILD,rebuild_all
absolutely i,Absolutely. I,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,see this the potential to help lift the emerging economies. Absolutely. I have a,20260920T071212Z_REBUILD,rebuild_all
acr,ACR,named_entity,,3,1,1,0,19,LOW,proper_case,r7POfIOIJd8,"He filed a lawsuit against them over something called ACR, which stands for",20260920T071212Z_REBUILD,rebuild_all
adam weishaupt,Adam Weishaupt,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,71DIp8e2mXk,"it's a rings upon rings structure, which is actually what Adam Weishaupt said",20260920T071212Z_REBUILD,rebuild_all
afghanistan,Afghanistan,named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,"basically derived from military appropriations from Afghanistan, from",20260920T071212Z_REBUILD,rebuild_all
africa and latin america and the,Africa and Latin America and the,named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,lot of interest and connections in Africa and Latin America and the,20260920T071212Z_REBUILD,rebuild_all
after,After,named_entity,,3,1,1,0,19,LOW,proper_case,WGn_E_9ZS2Q,frozen Iranian bank accounts >> After they After they started getting,20260920T071212Z_REBUILD,rebuild_all
ai and and,AI and and,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,">> So, have you heard the story about the AI and and um you know, I've just seen",20260920T071212Z_REBUILD,rebuild_all
ai i,AI. I,product,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,read in the last 12 months is Karen House book on open AI. I don't know if,20260920T071212Z_REBUILD,rebuild_all
ai is,AI. Is,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,>> And um you know so so tell me about the economics on AI. Is it the same thing?,20260920T071212Z_REBUILD,rebuild_all
ai this,AI. This,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,just hobbyists can contribute to advancing AI. This widespread access,20260920T071212Z_REBUILD,rebuild_all
aidriven,AIdriven,named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,"especially, are increasingly using AIdriven decision support systems or",20260920T071212Z_REBUILD,rebuild_all
aipac,AIPAC,named_entity,,3,1,1,0,19,LOW,proper_case,SOADMgNpZr0,website where they're tracking AIPAC donations to every single,20260920T071212Z_REBUILD,rebuild_all
ais how,AIS. How,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,people are seeing from the uh public AIS. How do you get that same capability,20260920T071212Z_REBUILD,rebuild_all
alade,Alade,named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,"even to put the radar back in in in in Gata in the Alade base there, it it it",20260920T071212Z_REBUILD,rebuild_all
alcoa,Alcoa,named_entity,,3,1,1,0,19,LOW,proper_case,OnEOcaUnBg0,"believe he's sincere and he really is. And the next thing you know, Alcoa is",20260920T071212Z_REBUILD,rebuild_all
alcoa and i,Alcoa. And I,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,OnEOcaUnBg0,that's like the workforce Paul O'Neill found when he went to Alcoa. And I look,20260920T071212Z_REBUILD,rebuild_all
alistair,Alistair,named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,"said, ""I want you to go back and listen to what Alistair said again because this",20260920T071212Z_REBUILD,rebuild_all
alistister crook,Alistister Crook,product,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,"Cari Report. We have an immense treat for you today. Um, Alistister Crook is,",20260920T071212Z_REBUILD,rebuild_all
also,Also,named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,treasuries but in one denominated debt and we've seen Also um even banks like,20260920T071212Z_REBUILD,rebuild_all
always there s,Always. There's,organization,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,that are accountable for that company. Always. There's a board. There's there's,20260920T071212Z_REBUILD,rebuild_all
amazing so,Amazing. So,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,sSrRCNjcm5I,and she's an amazing researcher. Amazing. So we've got her checking,20260920T071212Z_REBUILD,rebuild_all
amazon s,Amazon's,named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,"centralized AIs, these big centralized hyperscalers. I mean Amazon's been",20260920T071212Z_REBUILD,rebuild_all
amd,AMD,named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,league with them. Uh Qualcomm um also wants to have AI chips. Uh AMD there's,20260920T071212Z_REBUILD,rebuild_all
america and europe s,America and Europe's,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,"be careful, you know, may not be in America and Europe's interest for you to",20260920T071212Z_REBUILD,rebuild_all
america for,America for,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,self-sufficiency. So they do depend on America for some things like aircraft,20260920T071212Z_REBUILD,rebuild_all
america of,America of,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,the the uh it's the the ability the o old way of war of America of outspending,20260920T071212Z_REBUILD,rebuild_all
america and,America. And,organization,,3,1,1,0,19,LOW,proper_case,87SJi_DDbt4,"A coalition representing virtually every city, county, and town in America. And",20260920T071212Z_REBUILD,rebuild_all
america shut,America. Shut,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,Arabia shut the use of its Prince Sultan air base to America. Shut it. Shut its,20260920T071212Z_REBUILD,rebuild_all
american ict and ai,American ICT and AI,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,tracking assassination targets are American ICT and AI companies in,20260920T071212Z_REBUILD,rebuild_all
americans american,Americans American,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,Nx-vggrpYNw,foreign adversaries. But if you think that Americans American,20260920T071212Z_REBUILD,rebuild_all
americans they re,Americans. They're,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,j4rItIYZV_o,consistent with the uh economic aspirations of most Americans. They're,20260920T071212Z_REBUILD,rebuild_all
ammani,Ammani,named_entity,,3,1,1,0,19,LOW,proper_case,MGnJEb4sXwM,vessels look you know take the risk and try and stay as close to the Ammani,20260920T071212Z_REBUILD,rebuild_all
anaconda and,Anaconda and,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,of heart and soul into that. Then after I left Anaconda and then started I,20260920T071212Z_REBUILD,rebuild_all
anaconda and i,Anaconda and I,person_or_named_entity,,3,1,1,0,19,LOW,proper_case,mq7GSzwaGBw,>> So I started the PI data ecosystem back years ago when I started Anaconda and I,20260920T071212Z_REBUILD,rebuild_all
